attribute_id,attribute_name,attribute_group,applies_to_category,value_type
attr_01,wheelchair_accessible_entrance,accessibility,Dentist,bool
attr_02,wheelchair_accessible_restroom,accessibility,Dentist,bool
attr_03,wheelchair_accessible_parking,accessibility,Dentist,bool
attr_04,has_onsite_parking,accessibility,Dentist,bool
attr_05,free_street_parking,accessibility,Dentist,bool
attr_06,appointment_required,planning,Dentist,bool
attr_07,accepts_new_patients,planning,Dentist,bool
attr_08,online_appointments,planning,Dentist,bool
attr_09,has_restroom,amenities,Dentist,bool
attr_10,gender_neutral_restroom,amenities,Dentist,bool
attr_11,identifies_as_women_owned,identity,Dentist,bool
attr_12,identifies_as_veteran_owned,identity,Dentist,bool
attr_13,lgbtq_friendly,identity,Dentist,bool
attr_14,transgender_safespace,identity,Dentist,bool
attr_15,language_assistance,planning,Dentist,enum
attr_16,accepts_credit_cards,payments,Dentist,bool
attr_17,accepts_debit_cards,payments,Dentist,bool
attr_18,accepts_nfc_mobile_payments,payments,Dentist,bool
attr_19,accepts_insurance,payments,Dentist,bool
attr_20,payment_plans_available,payments,Dentist,bool
attr_21,emergency_services,services,Dentist,bool
attr_22,walk_ins_welcome,services,Dentist,bool
attr_23,saturday_appointments,planning,Dentist,bool
attr_24,evening_appointments,planning,Dentist,bool
attr_25,sedation_available,services,Dentist,bool
attr_26,pediatric_care,services,Dentist,bool
attr_27,orthodontic_care,services,Dentist,bool
attr_28,implant_services,services,Dentist,bool
attr_29,teeth_whitening,services,Dentist,bool
attr_30,digital_xray,services,Dentist,bool
attr_31,wifi_available,amenities,Dentist,bool
attr_32,kids_area,amenities,Dentist,bool
attr_33,tv_in_waiting_area,amenities,Dentist,bool
attr_34,mask_required,amenities,Dentist,bool
