keyword_id,week_start,competitor_name,competitor_place_id,rank_absolute,review_count,average_rating,photo_count,is_claimed
KW-0001,2026-06-15,Park Dental Center,ChIJVGsMX25f2x5F,10,315,4.2,25,TRUE
KW-0001,2026-06-15,Cedar Ridge Dental Care,ChIJVU9xcaH2Zo7i,12,300,4.8,97,TRUE
KW-0001,2026-06-15,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,15,133,3.8,142,FALSE
KW-0001,2026-06-22,Austin Smile Dental,ChIJ8qMR1zS31Olw,5,141,3.7,91,TRUE
KW-0001,2026-06-22,Advanced Cosmetic Dentistry,ChIJOM8iCULMWNID,10,114,4.0,55,TRUE
KW-0001,2026-06-22,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,9,137,3.8,139,FALSE
KW-0001,2026-06-29,Park Dental Center,ChIJVGsMX25f2x5F,9,319,4.2,29,TRUE
KW-0001,2026-06-29,Austin Smile Dental,ChIJ8qMR1zS31Olw,11,143,3.7,94,TRUE
KW-0001,2026-06-29,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,14,141,3.8,142,FALSE
KW-0001,2026-07-06,Austin Smile Dental,ChIJ8qMR1zS31Olw,7,148,3.7,90,TRUE
KW-0001,2026-07-06,Park Dental Center,ChIJVGsMX25f2x5F,11,327,4.2,28,TRUE
KW-0001,2026-07-06,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,14,142,3.8,137,FALSE
KW-0001,2026-07-13,Cedar Ridge Dental Care,ChIJVU9xcaH2Zo7i,6,320,4.8,96,TRUE
KW-0001,2026-07-13,Advanced Cosmetic Dentistry,ChIJOM8iCULMWNID,8,123,4.0,53,TRUE
KW-0001,2026-07-13,Park Dental Center,ChIJVGsMX25f2x5F,13,331,4.2,30,TRUE
KW-0001,2026-07-20,Cedar Ridge Dental Care,ChIJVU9xcaH2Zo7i,9,310,4.8,98,TRUE
KW-0001,2026-07-20,Downtown Dental Associates,ChIJI5FjmcHnfw8M,10,190,4.2,77,TRUE
KW-0001,2026-07-20,Austin Smile Dental,ChIJ8qMR1zS31Olw,12,159,3.7,91,TRUE
KW-0001,2026-07-27,Cedar Ridge Dental Care,ChIJVU9xcaH2Zo7i,4,312,4.8,93,TRUE
KW-0001,2026-07-27,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,11,145,3.8,138,FALSE
KW-0001,2026-07-27,Downtown Dental Associates,ChIJI5FjmcHnfw8M,10,187,4.2,75,TRUE
KW-0001,2026-08-03,Austin Smile Dental,ChIJ8qMR1zS31Olw,4,153,3.7,90,TRUE
KW-0001,2026-08-03,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,8,154,3.8,138,FALSE
KW-0001,2026-08-03,Advanced Cosmetic Dentistry,ChIJOM8iCULMWNID,13,125,4.0,53,TRUE
KW-0001,2026-08-10,Park Dental Center,ChIJVGsMX25f2x5F,6,339,4.2,29,TRUE
KW-0001,2026-08-10,Austin Smile Dental,ChIJ8qMR1zS31Olw,8,155,3.7,94,TRUE
KW-0001,2026-08-10,Advanced Cosmetic Dentistry,ChIJOM8iCULMWNID,11,135,4.0,55,TRUE
KW-0001,2026-08-17,Advanced Cosmetic Dentistry,ChIJOM8iCULMWNID,9,147,4.0,58,TRUE
KW-0001,2026-08-17,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,9,178,3.8,142,FALSE
KW-0001,2026-08-17,Park Dental Center,ChIJVGsMX25f2x5F,11,351,4.2,28,TRUE
KW-0001,2026-08-24,Cedar Ridge Dental Care,ChIJVU9xcaH2Zo7i,7,340,4.8,93,TRUE
KW-0001,2026-08-24,Advanced Cosmetic Dentistry,ChIJOM8iCULMWNID,10,141,4.0,56,TRUE
KW-0001,2026-08-24,Park Dental Center,ChIJVGsMX25f2x5F,15,335,4.2,25,TRUE
KW-0001,2026-08-31,Downtown Dental Associates,ChIJI5FjmcHnfw8M,9,219,4.2,77,TRUE
KW-0001,2026-08-31,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,10,188,3.8,139,FALSE
KW-0001,2026-08-31,Park Dental Center,ChIJVGsMX25f2x5F,13,337,4.2,28,TRUE
KW-0001,2026-09-07,Austin Smile Dental,ChIJ8qMR1zS31Olw,11,163,3.7,93,TRUE
KW-0001,2026-09-07,Cedar Ridge Dental Care,ChIJVU9xcaH2Zo7i,12,324,4.8,94,TRUE
KW-0001,2026-09-07,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,18,157,3.8,142,FALSE
KW-0002,2026-06-15,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,4,133,3.8,137,FALSE
KW-0002,2026-06-15,Austin Smile Dental,ChIJ8qMR1zS31Olw,9,139,3.7,92,TRUE
KW-0002,2026-06-15,Cedar Ridge Dental Care,ChIJVU9xcaH2Zo7i,12,300,4.8,95,TRUE
KW-0002,2026-06-22,Park Dental Center,ChIJVGsMX25f2x5F,7,318,4.2,28,TRUE
KW-0002,2026-06-22,Advanced Cosmetic Dentistry,ChIJOM8iCULMWNID,8,115,4.0,56,TRUE
KW-0002,2026-06-22,Downtown Dental Associates,ChIJI5FjmcHnfw8M,12,178,4.2,72,TRUE
KW-0002,2026-06-29,Park Dental Center,ChIJVGsMX25f2x5F,2,321,4.2,28,TRUE
KW-0002,2026-06-29,Lakeview Family Dentistry,ChIJA9nlsRJlf9Ne,7,139,3.8,139,FALSE
KW-0002,2026-06-29,Advanced Cosmetic Dentistry,ChIJOM8iCULMWNID,9,115,4.0,58,TRUE
KW-0002,2026-07-06,Downtown Dental Associates,ChIJI5FjmcHnfw8M,9,190,4.2,76,TRUE
KW-0002,2026-07-06,Park Dental Center,ChIJVGsMX25f2x5F,11,321,4.2,25,TRUE
KW-0002,2026-07-06,Cedar Ridge Dental Care,ChIJVU9xcaH2Zo7i,12,315,4.8,96,TRUE
KW-0002,2026-07-13,Downtown Dental Associates,ChIJI5FjmcHnfw8M,5,187,4.2,76,TRUE
KW-0002,2026-07-13,Park Dental Center,ChIJVGsMX25f2x5F,9,327,4.2,28,TRUE
KW-0002,2026-07-13,Advanced Cosmetic Dentistry,ChIJOM8iCULMWNID,11,127,4.0,58,TRUE
