location_id,day_of_week,open_time,close_time
LOC-001,Monday,08:00,17:00
LOC-001,Tuesday,08:00,17:00
LOC-001,Wednesday,08:00,17:00
LOC-001,Thursday,08:00,17:00
LOC-001,Friday,08:00,17:00
LOC-001,Saturday,09:00,14:00
LOC-001,Sunday,,
LOC-002,Monday,08:00,17:00
LOC-002,Tuesday,08:00,17:00
LOC-002,Wednesday,08:00,17:00
LOC-002,Thursday,08:00,17:00
LOC-002,Friday,08:00,17:00
LOC-002,Saturday,09:00,14:00
LOC-002,Sunday,,
LOC-003,Monday,08:00,17:00
LOC-003,Tuesday,08:00,17:00
LOC-003,Wednesday,08:00,17:00
LOC-003,Thursday,08:00,17:00
LOC-003,Friday,08:00,17:00
LOC-003,Saturday,,
LOC-003,Sunday,,
LOC-004,Monday,08:00,17:00
LOC-004,Tuesday,08:00,17:00
LOC-004,Wednesday,08:00,17:00
LOC-004,Thursday,08:00,17:00
LOC-004,Friday,08:00,17:00
LOC-004,Saturday,09:00,14:00
LOC-004,Sunday,,
LOC-005,Monday,08:00,17:00
LOC-005,Tuesday,08:00,17:00
LOC-005,Wednesday,08:00,17:00
LOC-005,Thursday,08:00,17:00
LOC-005,Friday,08:00,17:00
LOC-005,Saturday,09:00,14:00
LOC-005,Sunday,,
LOC-006,Monday,08:00,17:00
LOC-006,Tuesday,08:00,17:00
LOC-006,Wednesday,08:00,17:00
LOC-006,Thursday,08:00,17:00
LOC-006,Friday,08:00,17:00
LOC-006,Saturday,09:00,14:00
LOC-006,Sunday,,
LOC-007,Monday,07:30,18:00
LOC-007,Tuesday,08:00,17:00
LOC-007,Wednesday,07:30,18:00
LOC-007,Thursday,08:00,17:00
LOC-007,Friday,08:00,17:00
LOC-007,Saturday,09:00,14:00
LOC-007,Sunday,,
LOC-008,Monday,08:00,17:00
LOC-008,Tuesday,08:00,17:00
LOC-008,Wednesday,08:00,17:00
LOC-008,Thursday,08:00,17:00
LOC-008,Friday,08:00,17:00
LOC-008,Saturday,09:00,14:00
LOC-008,Sunday,,
LOC-009,Monday,08:00,17:00
LOC-009,Tuesday,08:00,17:00
LOC-009,Wednesday,08:00,17:00
LOC-009,Thursday,08:00,17:00
LOC-009,Friday,08:00,17:00
LOC-009,Saturday,09:00,14:00
LOC-009,Sunday,,
LOC-010,Monday,08:00,17:00
LOC-010,Tuesday,08:00,17:00
LOC-010,Wednesday,08:00,17:00
LOC-010,Thursday,08:00,17:00
LOC-010,Friday,08:00,17:00
LOC-010,Saturday,09:00,14:00
LOC-010,Sunday,,
LOC-011,Monday,08:00,17:00
LOC-011,Tuesday,08:00,17:00
LOC-011,Wednesday,08:00,17:00
LOC-011,Thursday,08:00,17:00
LOC-011,Friday,08:00,19:00
LOC-011,Saturday,09:00,14:00
LOC-011,Sunday,,
LOC-012,Monday,08:00,17:00
LOC-012,Tuesday,08:00,17:00
LOC-012,Wednesday,08:00,17:00
LOC-012,Thursday,08:00,17:00
LOC-012,Friday,08:00,17:00
LOC-012,Saturday,09:00,14:00
LOC-012,Sunday,,
