location_id,photo_count,interior_photo_count,exterior_photo_count,team_photo_count,video_count,has_profile_photo,has_cover_photo,last_photo_uploaded_on
LOC-001,44,15,14,10,4,TRUE,TRUE,2026-08-29
LOC-002,3,1,1,1,0,TRUE,FALSE,2026-08-11
LOC-003,26,10,5,5,2,TRUE,FALSE,2026-07-01
LOC-004,18,9,10,3,3,TRUE,TRUE,2026-07-26
LOC-005,61,20,18,15,5,TRUE,TRUE,2026-08-28
LOC-006,32,10,6,4,3,TRUE,TRUE,2026-07-21
LOC-007,4,0,2,0,0,TRUE,FALSE,2025-12-04
LOC-008,15,7,8,4,0,TRUE,TRUE,2026-07-28
LOC-009,12,9,5,3,0,TRUE,TRUE,2026-07-15
LOC-010,28,10,9,2,1,TRUE,FALSE,2026-07-08
LOC-011,34,3,9,5,0,TRUE,FALSE,2026-07-19
LOC-012,7,2,2,1,0,TRUE,FALSE,2026-07-14
