location_id,year_month,search_term,impressions
LOC-001,2026-04,brightpath dental austin,3888
LOC-001,2026-04,dental implants mueller,5534
LOC-001,2026-04,emergency dentist,3786
LOC-001,2026-04,gentle dentist,2806
LOC-001,2026-04,brightpath dental,2596
LOC-001,2026-04,tooth extraction mueller,998
LOC-001,2026-04,gentle dentist mueller,711
LOC-001,2026-04,kids dentist,807
LOC-001,2026-04,brightpath dental mueller,1660
LOC-001,2026-04,dental cleaning,457
LOC-001,2026-04,tooth extraction,435
LOC-001,2026-04,brightpath mueller,1792
LOC-001,2026-05,dental implants,6414
LOC-001,2026-05,gentle dentist,5783
LOC-001,2026-05,brightpath mueller,1885
LOC-001,2026-05,brightpath dental,2454
LOC-001,2026-05,affordable dentist no insurance,2237
LOC-001,2026-05,brightpath dental austin,594
LOC-001,2026-05,dental implants cost,952
LOC-001,2026-05,brightpath dental mueller,237
LOC-001,2026-05,dentist open now,559
LOC-001,2026-05,root canal near me mueller,942
LOC-001,2026-05,dental implants mueller,525
LOC-001,2026-05,dentist open sunday austin,1693
LOC-001,2026-05,dentist open saturday,1337
LOC-001,2026-06,dentist with payment plans,6794
LOC-001,2026-06,root canal near me,6367
LOC-001,2026-06,braces near me,1614
LOC-001,2026-06,dental cleaning,2541
LOC-001,2026-06,teeth cleaning near me mueller,1893
LOC-001,2026-06,kids dentist,380
LOC-001,2026-06,teeth whitening cost,527
LOC-001,2026-06,dentist open sunday austin,522
LOC-001,2026-06,tooth extraction,1596
LOC-001,2026-06,dentist open sunday mueller,210
LOC-001,2026-06,teeth whitening,1105
LOC-001,2026-06,dental implants,1378
LOC-001,2026-06,dentist open saturday,1577
LOC-001,2026-06,cavity filling,799
LOC-001,2026-06,brightpath dental mueller,35
LOC-001,2026-06,cosmetic dentist austin,311
LOC-001,2026-07,gentle dentist,4457
LOC-001,2026-07,dentist open now,2392
LOC-001,2026-07,dentist with payment plans austin,2333
LOC-001,2026-07,dental implants,1720
LOC-001,2026-07,teeth whitening cost,2459
LOC-001,2026-07,dentist near me,372
LOC-001,2026-07,brightpath dental,300
LOC-001,2026-07,root canal near me,1223
LOC-001,2026-07,teeth whitening,447
LOC-001,2026-07,affordable dentist no insurance,578
LOC-001,2026-07,dentist open sunday,981
LOC-001,2026-07,brightpath dental austin,528
LOC-001,2026-07,walk in dentist,428
LOC-001,2026-07,dentist with payment plans mueller,766
LOC-001,2026-07,invisalign near me,1180
LOC-001,2026-07,braces near me austin,966
LOC-001,2026-07,dentist open now mueller,1075
LOC-001,2026-07,dentist with payment plans,1529
LOC-001,2026-07,emergency tooth extraction,1331
LOC-001,2026-07,brightpath dental mueller,293
LOC-001,2026-07,braces near me,566
LOC-001,2026-07,dentist that takes medicaid,458
LOC-001,2026-08,brightpath mueller,5610
LOC-001,2026-08,dentist open saturday mueller,4347
LOC-001,2026-08,dental implants,1656
LOC-001,2026-08,teeth whitening,1783
LOC-001,2026-08,gum disease treatment,2825
LOC-001,2026-08,braces near me austin,1528
LOC-001,2026-08,brightpath dental austin,1167
LOC-001,2026-08,kids dentist,1387
LOC-001,2026-08,dentist open saturday austin,1793
LOC-001,2026-08,dentist open sunday,1680
LOC-001,2026-08,dentist with payment plans,164
LOC-001,2026-08,cosmetic dentist,332
LOC-001,2026-08,cavity filling mueller,232
LOC-002,2026-04,brightpath dental south lamar,1992
LOC-002,2026-04,dentist open sunday south lamar,2592
LOC-002,2026-04,kids dentist south lamar,872
LOC-002,2026-04,brightpath dental,1134
LOC-002,2026-04,brightpath south lamar,1429
LOC-002,2026-04,kids dentist,508
LOC-002,2026-04,dentist with payment plans,565
LOC-002,2026-04,dentist open now,451
LOC-002,2026-04,dental cleaning,458
LOC-002,2026-04,dentist that takes medicaid,650
LOC-002,2026-04,brightpath dental austin,434
LOC-002,2026-04,walk in dentist,138
LOC-002,2026-04,dentist with payment plans south lamar,137
LOC-002,2026-04,dentist with payment plans austin,201
LOC-002,2026-04,dental implants,139
LOC-002,2026-04,gum disease treatment,46
LOC-002,2026-04,affordable dentist no insurance,500
LOC-002,2026-05,gentle dentist,3192
LOC-002,2026-05,dentist with payment plans,2442
LOC-002,2026-05,invisalign near me,1075
LOC-002,2026-05,brightpath dental south lamar,638
LOC-002,2026-05,dental cleaning south lamar,765
LOC-002,2026-05,brightpath south lamar,369
LOC-002,2026-05,walk in dentist,498
LOC-002,2026-05,dentist open sunday,370
LOC-002,2026-05,emergency tooth extraction,89
LOC-002,2026-05,gum disease treatment,61
LOC-002,2026-05,dentist open saturday,373
LOC-002,2026-05,brightpath dental austin,157
LOC-002,2026-05,braces near me,415
LOC-002,2026-05,tooth extraction,203
LOC-002,2026-05,dental cleaning,100
LOC-002,2026-05,orthodontist near me,568
LOC-002,2026-05,teeth whitening,301
LOC-002,2026-05,dentist open sunday south lamar,606
LOC-002,2026-05,wisdom teeth removal,62
LOC-002,2026-05,dentist with payment plans south lamar,617
LOC-002,2026-06,dental implants cost,1589
LOC-002,2026-06,dental implants,3675
LOC-002,2026-06,brightpath dental austin,1199
LOC-002,2026-06,best dentist near me austin,935
LOC-002,2026-06,dental implants austin,897
LOC-002,2026-06,dental cleaning south lamar,274
LOC-002,2026-06,dentist near me,659
LOC-002,2026-06,cavity filling,112
LOC-002,2026-06,best dentist near me south lamar,554
LOC-002,2026-06,invisalign near me,229
LOC-002,2026-06,orthodontist near me,164
LOC-002,2026-06,wisdom teeth removal,708
LOC-002,2026-06,affordable dentist no insurance,407
LOC-002,2026-06,brightpath south lamar,467
LOC-002,2026-06,brightpath dental,598
LOC-002,2026-07,dentist open saturday,2256
LOC-002,2026-07,dentist open now,1830
LOC-002,2026-07,invisalign near me austin,961
LOC-002,2026-07,dentist open sunday,773
LOC-002,2026-07,brightpath dental austin,1359
LOC-002,2026-07,dental implants cost austin,464
LOC-002,2026-07,orthodontist near me,73
LOC-002,2026-07,cosmetic dentist,309
LOC-002,2026-07,dental implants,686
LOC-002,2026-07,gum disease treatment,35
LOC-002,2026-07,dentist open saturday austin,657
LOC-002,2026-07,brightpath south lamar,362
LOC-002,2026-07,dental implants cost,165
LOC-002,2026-07,dental implants cost south lamar,160
LOC-002,2026-07,brightpath dental,682
LOC-002,2026-07,dentist open saturday south lamar,737
LOC-002,2026-07,dentist near me,374
LOC-002,2026-07,gentle dentist,270
LOC-002,2026-08,brightpath dental,1640
LOC-002,2026-08,brightpath dental austin,1717
LOC-002,2026-08,dentist near me,655
LOC-002,2026-08,teeth whitening cost,1409
LOC-002,2026-08,braces near me austin,946
LOC-002,2026-08,brightpath dental south lamar,4
LOC-002,2026-08,orthodontist near me,465
LOC-002,2026-08,dental cleaning,676
LOC-002,2026-08,kids dentist,578
LOC-002,2026-08,braces near me south lamar,484
LOC-002,2026-08,root canal near me,453
LOC-002,2026-08,teeth whitening,521
LOC-002,2026-08,dental implants cost south lamar,613
LOC-002,2026-08,dentist open sunday,538
LOC-002,2026-08,wisdom teeth removal south lamar,549
LOC-002,2026-08,best dentist near me,414
LOC-003,2026-04,dental cleaning,1406
LOC-003,2026-04,emergency dentist round rock,1693
LOC-003,2026-04,dental implants round rock,1060
LOC-003,2026-04,dentist with payment plans,575
LOC-003,2026-04,wisdom teeth removal,555
LOC-003,2026-04,dentist open saturday,632
LOC-003,2026-04,brightpath dental,406
LOC-003,2026-04,teeth cleaning near me round rock,524
LOC-003,2026-04,dentist open sunday,458
LOC-003,2026-04,brightpath dental austin,493
LOC-003,2026-04,teeth whitening,206
LOC-003,2026-04,gum disease treatment,76
LOC-003,2026-04,invisalign near me,168
LOC-003,2026-04,teeth cleaning near me austin,553
LOC-003,2026-04,orthodontist near me,219
LOC-003,2026-04,best dentist near me,159
LOC-003,2026-04,tooth extraction,146
LOC-003,2026-04,dentist open now,123
LOC-003,2026-05,brightpath dental austin,1477
LOC-003,2026-05,root canal near me,1883
LOC-003,2026-05,dentist open sunday,672
LOC-003,2026-05,orthodontist near me,621
LOC-003,2026-05,gentle dentist,762
LOC-003,2026-05,brightpath dental,304
LOC-003,2026-05,affordable dentist no insurance,100
LOC-003,2026-05,emergency dentist austin,273
LOC-003,2026-05,dentist open saturday,660
LOC-003,2026-05,kids dentist round rock,185
LOC-003,2026-05,brightpath round rock,148
LOC-003,2026-05,braces near me,439
LOC-003,2026-05,dentist open now,702
LOC-003,2026-05,gum disease treatment,360
LOC-003,2026-05,teeth cleaning near me,308
LOC-003,2026-06,root canal near me,1709
LOC-003,2026-06,gentle dentist,1573
LOC-003,2026-06,brightpath dental,552
LOC-003,2026-06,dentist that takes medicaid round rock,707
LOC-003,2026-06,teeth cleaning near me,580
LOC-003,2026-06,dentist open sunday austin,406
LOC-003,2026-06,pediatric dentist near me,397
LOC-003,2026-06,kids dentist,252
LOC-003,2026-06,teeth whitening,552
LOC-003,2026-06,cavity filling,101
LOC-003,2026-06,dental implants,291
LOC-003,2026-06,dentist open sunday,78
LOC-003,2026-06,brightpath dental austin,417
LOC-003,2026-06,best dentist near me,411
LOC-003,2026-06,dentist open saturday,983
LOC-003,2026-06,dentist open now,579
LOC-003,2026-07,teeth cleaning near me round rock,1854
LOC-003,2026-07,walk in dentist,1102
LOC-003,2026-07,teeth whitening round rock,690
LOC-003,2026-07,brightpath dental round rock,589
LOC-003,2026-07,affordable dentist no insurance,502
LOC-003,2026-07,brightpath dental,382
LOC-003,2026-07,affordable dentist no insurance austin,109
LOC-003,2026-07,root canal near me,192
LOC-003,2026-07,dentist open sunday,1176
LOC-003,2026-07,dentist open now,1469
LOC-003,2026-07,pediatric dentist near me,486
LOC-003,2026-07,dentist open saturday,98
LOC-003,2026-07,emergency dentist,477
LOC-003,2026-08,brightpath dental austin,942
LOC-003,2026-08,dentist open now,1660
LOC-003,2026-08,cavity filling austin,801
LOC-003,2026-08,teeth cleaning near me austin,796
LOC-003,2026-08,brightpath dental round rock,819
LOC-003,2026-08,invisalign near me,530
LOC-003,2026-08,cosmetic dentist,111
LOC-003,2026-08,gentle dentist,309
LOC-003,2026-08,orthodontist near me,99
LOC-003,2026-08,dentist open sunday,700
LOC-003,2026-08,cavity filling,396
LOC-003,2026-08,dentist near me,185
LOC-003,2026-08,dental cleaning,429
LOC-003,2026-08,brightpath dental,321
LOC-003,2026-08,dentist with payment plans,358
LOC-003,2026-08,tooth extraction,307
LOC-003,2026-08,dentist open saturday,951
LOC-004,2026-04,dentist with payment plans,4473
LOC-004,2026-04,orthodontist near me,3863
